8.761,7.817,1.374427,3,0.5
7.844,7.87,1.377736,3,0.5
7.092,7.191,1.403683,3,1.0
6.523,6.231,1.397845,3,1.0
5.942,5.427,1.592065,3,1.0
5.125,5.176,2.075935,3,1.0
4.230,5.046,-1.257261,3,1.0
3.228,4.827,-0.381734,3,1.0
2.191,4.436,-2.950912,3,1.0
1.587,3.669,-2.403954,3,0.5
1.427,2.811,0.881762,3,0.5
1.243,2.108,0.926872,3,0.5
1.343,1.53,1.261952,3,0.5
1.742,1.004,1.470772,3,0.5
1.967,0.494,1.466566,3,1.0
2.501,-0.046,1.432547,3,1.0
3.291,-0.356,1.639654,3,1.0
4.106,-0.631,0.721577,3,1.0
5.021,-0.874,-1.806179,3,1.0
6.13,-0.941,-1.361635,3,0.5
6.984,-0.769,0.522743,3,0.5
7.929,-0.298,-0.59459,3,0.5
8.481,0.375,-0.363034,3,0.5
9.061,1.143,-0.183139,3,2.0
9.596,2.03,-0.166962,3,2.0
9.97,2.893,0.042204,3,2.0
10.117,3.407,1.375318,3,2.0
10.241,4.003,1.632233,3,2.0
10.345,4.773,0.955714,3,2.0
10.458,5.741,-2.083943,3,1.5
10.493,6.499,1.133608,3,1.0
10.256,7.164,-2.026372,3,1.0
9.603,7.708,-2.016023,3,0.5
