2.313000,0.750000,1682272007.000000
2.301000,0.811000,1682272008.000000
2.223000,0.931000,1682272009.000000
2.075000,1.462000,1682272010.000000
1.941000,2.348000,1682272011.000000
1.781000,4.696000,1682272012.000000
0.429000,5.012000,1682272013.000000
0.893000,2.571000,1682272014.000000
1.402000,1.878000,1682272015.000000
1.925000,1.347000,1682272016.000000
2.842000,0.709000,1682272017.000000
3.587000,1.023000,1682272018.000000
2.858000,1.691000,1682272019.000000
2.263000,2.190000,1682272020.000000
1.740000,2.797000,1682272021.000000
1.295000,65.532997,1682272022.000000
0.958000,65.532997,1682272023.000000
1.090000,3.217000,1682272024.000000
1.623000,2.753000,1682272025.000000
1.885000,1.551000,1682272026.000000
2.011000,0.919000,1682272027.000000
2.053000,0.780000,1682272028.000000
2.027000,0.801000,1682272029.000000
1.906000,1.009000,1682272030.000000
1.633000,1.621000,1682272031.000000
0.828000,2.181000,1682272032.000000
0.770000,1.959000,1682272033.000000
1.297000,1.782000,1682272034.000000
1.764000,1.336000,1682272035.000000
1.933000,1.035000,1682272036.000000
2.054000,1.055000,1682272037.000000
2.049000,1.037000,1682272038.000000
