1.330000,1.350000,1682043926.000000
1.317000,1.399000,1682043927.000000
1.352000,1.332000,1682043928.000000
1.340000,1.350000,1682043929.000000
1.333000,1.332000,1682043930.000000
1.188000,1.690000,1682043931.000000
0.889000,2.058000,1682043932.000000
1.179000,1.785000,1682043933.000000
1.289000,1.581000,1682043934.000000
1.366000,1.527000,1682043935.000000
1.459000,1.484000,1682043936.000000
1.475000,1.453000,1682043937.000000
1.483000,1.385000,1682043938.000000
1.415000,1.381000,1682043939.000000
1.272000,1.733000,1682043940.000000
1.442000,4.127000,1682043941.000000
3.028000,4.163000,1682043942.000000
1.392000,3.040000,1682043943.000000
1.310000,1.663000,1682043944.000000
1.264000,1.610000,1682043945.000000
1.301000,1.581000,1682043946.000000
1.918000,1.974000,1682043947.000000
2.878000,1.982000,1682043948.000000
2.009000,2.002000,1682043949.000000
1.856000,1.972000,1682043950.000000
1.802000,2.178000,1682043951.000000
1.544000,3.143000,1682043952.000000
1.336000,2.966000,1682043953.000000
65.532997,65.532997,1682043954.000000
2.040000,2.518000,1682043955.000000
1.601000,1.653000,1682043956.000000
1.445000,1.233000,1682043957.000000
1.407000,1.312000,1682043958.000000
